#    L    TT             EE             TE             PP             TP          
   232    0.00000E+00    0.00000E+00    0.00000E+00    0.38959E-16    0.71145E-19
   233    0.00000E+00    0.00000E+00    0.00000E+00    0.38941E-16    0.21379E-19
   234    0.00000E+00    0.00000E+00    0.00000E+00    0.38924E-16   -0.22639E-19
   235    0.00000E+00    0.00000E+00    0.00000E+00    0.38907E-16   -0.77774E-20
   236    0.00000E+00    0.00000E+00    0.00000E+00    0.38891E-16    0.46062E-19
   237    0.00000E+00    0.00000E+00    0.00000E+00    0.38872E-16    0.73093E-19
   238    0.00000E+00    0.00000E+00    0.00000E+00    0.38854E-16    0.38559E-19
   239    0.00000E+00    0.00000E+00    0.00000E+00    0.38837E-16   -0.19123E-19
   240    0.00000E+00    0.00000E+00    0.00000E+00    0.38820E-16   -0.28076E-19
   241    0.00000E+00    0.00000E+00    0.00000E+00    0.38802E-16    0.29788E-19
   242    0.00000E+00    0.00000E+00    0.00000E+00    0.38782E-16    0.86508E-19
   243    0.00000E+00    0.00000E+00    0.00000E+00    0.38764E-16    0.65576E-19
   244    0.00000E+00    0.00000E+00    0.00000E+00    0.38746E-16   -0.13940E-19
   245    0.00000E+00    0.00000E+00    0.00000E+00    0.38726E-16   -0.51270E-19
   246    0.00000E+00    0.00000E+00    0.00000E+00    0.38708E-16    0.56413E-20
   247    0.00000E+00    0.00000E+00    0.00000E+00    0.38687E-16    0.85418E-19
   248    0.00000E+00    0.00000E+00    0.00000E+00    0.38668E-16    0.85022E-19
   249    0.00000E+00    0.00000E+00    0.00000E+00    0.38649E-16    0.69187E-20
   250    0.00000E+00    0.00000E+00    0.00000E+00    0.38629E-16   -0.46870E-19
   251    0.00000E+00    0.00000E+00    0.00000E+00    0.38611E-16   -0.11528E-19
   252    0.00000E+00    0.00000E+00    0.00000E+00    0.38588E-16    0.61519E-19
   253    0.00000E+00    0.00000E+00    0.00000E+00    0.38568E-16    0.80673E-19
   254    0.00000E+00    0.00000E+00    0.00000E+00    0.38548E-16    0.28481E-19
   255    0.00000E+00    0.00000E+00    0.00000E+00    0.38527E-16   -0.26993E-19
   256    0.00000E+00    0.00000E+00    0.00000E+00    0.38507E-16   -0.19816E-19
   257    0.00000E+00    0.00000E+00    0.00000E+00    0.38484E-16    0.40012E-19
   258    0.00000E+00    0.00000E+00    0.00000E+00    0.38464E-16    0.81724E-19
   259    0.00000E+00    0.00000E+00    0.00000E+00    0.38442E-16    0.53681E-19
   260    0.00000E+00    0.00000E+00    0.00000E+00    0.38421E-16   -0.16171E-19
   261    0.00000E+00    0.00000E+00    0.00000E+00    0.38400E-16   -0.45897E-19
   262    0.00000E+00    0.00000E+00    0.00000E+00    0.38376E-16    0.53090E-20
   263    0.00000E+00    0.00000E+00    0.00000E+00    0.38354E-16    0.79856E-19
   264    0.00000E+00    0.00000E+00    0.00000E+00    0.38332E-16    0.85412E-19
   265    0.00000E+00    0.00000E+00    0.00000E+00    0.38311E-16    0.12069E-19
   266    0.00000E+00    0.00000E+00    0.00000E+00    0.38286E-16   -0.50402E-19
   267    0.00000E+00    0.00000E+00    0.00000E+00    0.38263E-16   -0.25897E-19
   268    0.00000E+00    0.00000E+00    0.00000E+00    0.38241E-16    0.50746E-19
   269    0.00000E+00    0.00000E+00    0.00000E+00    0.38218E-16    0.82651E-19
   270    0.00000E+00    0.00000E+00    0.00000E+00    0.38195E-16    0.35946E-19
   271    0.00000E+00    0.00000E+00    0.00000E+00    0.38170E-16   -0.24714E-19
   272    0.00000E+00    0.00000E+00    0.00000E+00    0.38146E-16   -0.24354E-19
   273    0.00000E+00    0.00000E+00    0.00000E+00    0.38122E-16    0.33435E-19
   274    0.00000E+00    0.00000E+00    0.00000E+00    0.38099E-16    0.76904E-19
   275    0.00000E+00    0.00000E+00    0.00000E+00    0.38075E-16    0.52018E-19
   276    0.00000E+00    0.00000E+00    0.00000E+00    0.38048E-16   -0.15744E-19
   277    0.00000E+00    0.00000E+00    0.00000E+00    0.38024E-16   -0.47660E-19
   278    0.00000E+00    0.00000E+00    0.00000E+00    0.38000E-16    0.25403E-21
   279    0.00000E+00    0.00000E+00    0.00000E+00    0.37975E-16    0.78392E-19
   280    0.00000E+00    0.00000E+00    0.00000E+00    0.37950E-16    0.92117E-19
   281    0.00000E+00    0.00000E+00    0.00000E+00    0.37923E-16    0.18484E-19
   282    0.00000E+00    0.00000E+00    0.00000E+00    0.37898E-16   -0.55723E-19
   283    0.00000E+00    0.00000E+00    0.00000E+00    0.37872E-16   -0.38655E-19
   284    0.00000E+00    0.00000E+00    0.00000E+00    0.37847E-16    0.47942E-19
