#    L    TT             EE             TE          
   373    0.12366E+03    0.86079E+00   -0.13544E+01
   374    0.12404E+03    0.85763E+00   -0.14365E+01
   375    0.12444E+03    0.85434E+00   -0.15175E+01
   376    0.12485E+03    0.85086E+00   -0.15975E+01
   377    0.12529E+03    0.84724E+00   -0.16764E+01
   378    0.12574E+03    0.84344E+00   -0.17542E+01
   379    0.12622E+03    0.83951E+00   -0.18309E+01
   380    0.12671E+03    0.83540E+00   -0.19064E+01
   381    0.12722E+03    0.83116E+00   -0.19806E+01
   382    0.12775E+03    0.82675E+00   -0.20537E+01
   383    0.12829E+03    0.82222E+00   -0.21254E+01
   384    0.12885E+03    0.81752E+00   -0.21959E+01
   385    0.12944E+03    0.81271E+00   -0.22650E+01
   386    0.13003E+03    0.80773E+00   -0.23327E+01
   387    0.13064E+03    0.80265E+00   -0.23990E+01
   388    0.13127E+03    0.79741E+00   -0.24639E+01
   389    0.13192E+03    0.79208E+00   -0.25273E+01
   390    0.13258E+03    0.78662E+00   -0.25892E+01
   391    0.13325E+03    0.78101E+00   -0.26496E+01
   392    0.13394E+03    0.77532E+00   -0.27085E+01
   393    0.13464E+03    0.76949E+00   -0.27657E+01
   394    0.13536E+03    0.76359E+00   -0.28214E+01
   395    0.13609E+03    0.75755E+00   -0.28754E+01
   396    0.13683E+03    0.75144E+00   -0.29278E+01
   397    0.13759E+03    0.74521E+00   -0.29785E+01
   398    0.13836E+03    0.73892E+00   -0.30275E+01
   399    0.13913E+03    0.73251E+00   -0.30748E+01
   400    0.13992E+03    0.72606E+00   -0.31204E+01
   401    0.14073E+03    0.71950E+00   -0.31641E+01
   402    0.14154E+03    0.71289E+00   -0.32062E+01
   403    0.14236E+03    0.70620E+00   -0.32464E+01
   404    0.14319E+03    0.69946E+00   -0.32849E+01
   405    0.14403E+03    0.69265E+00   -0.33214E+01
   406    0.14488E+03    0.68581E+00   -0.33563E+01
   407    0.14573E+03    0.67890E+00   -0.33892E+01
   408    0.14660E+03    0.67197E+00   -0.34203E+01
   409    0.14747E+03    0.66499E+00   -0.34495E+01
   410    0.14835E+03    0.65799E+00   -0.34768E+01
   411    0.14923E+03    0.65096E+00   -0.35022E+01
   412    0.15012E+03    0.64392E+00   -0.35258E+01
   413    0.15102E+03    0.63684E+00   -0.35475E+01
   414    0.15192E+03    0.62978E+00   -0.35673E+01
   415    0.15283E+03    0.62272E+00   -0.35852E+01
   416    0.15374E+03    0.61563E+00   -0.36010E+01
   417    0.15465E+03    0.60858E+00   -0.36151E+01
   418    0.15557E+03    0.60152E+00   -0.36272E+01
   419    0.15649E+03    0.59450E+00   -0.36375E+01
   420    0.15742E+03    0.58748E+00   -0.36457E+01
   421    0.15834E+03    0.58052E+00   -0.36521E+01
   422    0.15927E+03    0.57358E+00   -0.36566E+01
   423    0.16020E+03    0.56669E+00   -0.36592E+01
   424    0.16113E+03    0.55984E+00   -0.36598E+01
   425    0.16206E+03    0.55306E+00   -0.36587E+01
   426    0.16298E+03    0.54633E+00   -0.36555E+01
   427    0.16391E+03    0.53967E+00   -0.36506E+01
   428    0.16484E+03    0.53308E+00   -0.36438E+01
   429    0.16577E+03    0.52658E+00   -0.36352E+01
   430    0.16669E+03    0.52015E+00   -0.36246E+01
   431    0.16761E+03    0.51382E+00   -0.36123E+01
   432    0.16853E+03    0.50758E+00   -0.35982E+01
   433    0.16945E+03    0.50145E+00   -0.35823E+01
   434    0.17036E+03    0.49542E+00   -0.35645E+01
   435    0.17127E+03    0.48952E+00   -0.35451E+01
   436    0.17217E+03    0.48372E+00   -0.35239E+01
   437    0.17308E+03    0.47806E+00   -0.35010E+01
   438    0.17397E+03    0.47253E+00   -0.34763E+01
   439    0.17486E+03    0.46714E+00   -0.34501E+01
   440    0.17574E+03    0.46190E+00   -0.34222E+01
   441    0.17662E+03    0.45679E+00   -0.33925E+01
   442    0.17749E+03    0.45186E+00   -0.33614E+01
   443    0.17836E+03    0.44707E+00   -0.33285E+01
   444    0.17921E+03    0.44246E+00   -0.32942E+01
   445    0.18006E+03    0.43801E+00   -0.32583E+01
   446    0.18090E+03    0.43375E+00   -0.32210E+01
   447    0.18174E+03    0.42967E+00   -0.31821E+01
   448    0.18256E+03    0.42578E+00   -0.31419E+01
   449    0.18338E+03    0.42208E+00   -0.31001E+01
   450    0.18418E+03    0.41859E+00   -0.30571E+01
   451    0.18498E+03    0.41530E+00   -0.30126E+01
   452    0.18577E+03    0.41222E+00   -0.29669E+01
   453    0.18654E+03    0.40936E+00   -0.29199E+01
   454    0.18731E+03    0.40672E+00   -0.28717E+01
   455    0.18806E+03    0.40430E+00   -0.28222E+01
   456    0.18881E+03    0.40212E+00   -0.27716E+01
   457    0.18954E+03    0.40016E+00   -0.27198E+01
   458    0.19026E+03    0.39846E+00   -0.26670E+01
   459    0.19097E+03    0.39699E+00   -0.26130E+01
   460    0.19167E+03    0.39578E+00   -0.25581E+01
   461    0.19235E+03    0.39482E+00   -0.25022E+01
   462    0.19303E+03    0.39412E+00   -0.24454E+01
   463    0.19369E+03    0.39368E+00   -0.23877E+01
   464    0.19433E+03    0.39351E+00   -0.23291E+01
   465    0.19497E+03    0.39361E+00   -0.22698E+01
   466    0.19559E+03    0.39399E+00   -0.22096E+01
   467    0.19619E+03    0.39464E+00   -0.21488E+01
   468    0.19679E+03    0.39558E+00   -0.20872E+01
   469    0.19737E+03    0.39680E+00   -0.20251E+01
   470    0.19793E+03    0.39832E+00   -0.19623E+01
   471    0.19848E+03    0.40012E+00   -0.18991E+01
   472    0.19902E+03    0.40223E+00   -0.18353E+01
   473    0.19954E+03    0.40463E+00   -0.17711E+01
   474    0.20005E+03    0.40734E+00   -0.17064E+01
   475    0.20054E+03    0.41035E+00   -0.16415E+01
   476    0.20102E+03    0.41367E+00   -0.15762E+01
   477    0.20149E+03    0.41730E+00   -0.15106E+01
   478    0.20193E+03    0.42124E+00   -0.14449E+01
   479    0.20237E+03    0.42550E+00   -0.13790E+01
   480    0.20278E+03    0.43008E+00   -0.13130E+01
   481    0.20319E+03    0.43498E+00   -0.12469E+01
   482    0.20358E+03    0.44020E+00   -0.11809E+01
