#    L    TT             EE             TE          
   421    0.17772E+03    0.88571E+00   -0.52954E+01
   422    0.17876E+03    0.87125E+00   -0.52909E+01
   423    0.17980E+03    0.85694E+00   -0.52835E+01
   424    0.18083E+03    0.84274E+00   -0.52728E+01
   425    0.18186E+03    0.82870E+00   -0.52591E+01
   426    0.18289E+03    0.81478E+00   -0.52422E+01
   427    0.18391E+03    0.80105E+00   -0.52224E+01
   428    0.18493E+03    0.78746E+00   -0.51994E+01
   429    0.18594E+03    0.77406E+00   -0.51735E+01
   430    0.18695E+03    0.76083E+00   -0.51446E+01
   431    0.18795E+03    0.74781E+00   -0.51130E+01
   432    0.18894E+03    0.73497E+00   -0.50783E+01
   433    0.18993E+03    0.72236E+00   -0.50409E+01
   434    0.19091E+03    0.70994E+00   -0.50007E+01
   435    0.19188E+03    0.69777E+00   -0.49578E+01
   436    0.19284E+03    0.68582E+00   -0.49122E+01
   437    0.19379E+03    0.67412E+00   -0.48640E+01
   438    0.19472E+03    0.66266E+00   -0.48131E+01
   439    0.19565E+03    0.65147E+00   -0.47598E+01
   440    0.19657E+03    0.64054E+00   -0.47041E+01
   441    0.19747E+03    0.62987E+00   -0.46457E+01
   442    0.19836E+03    0.61949E+00   -0.45852E+01
   443    0.19923E+03    0.60939E+00   -0.45221E+01
   444    0.20010E+03    0.59960E+00   -0.44570E+01
   445    0.20094E+03    0.59009E+00   -0.43895E+01
   446    0.20178E+03    0.58090E+00   -0.43200E+01
   447    0.20260E+03    0.57202E+00   -0.42482E+01
   448    0.20340E+03    0.56347E+00   -0.41746E+01
   449    0.20418E+03    0.55524E+00   -0.40988E+01
   450    0.20496E+03    0.54736E+00   -0.40213E+01
   451    0.20571E+03    0.53980E+00   -0.39418E+01
   452    0.20644E+03    0.53260E+00   -0.38607E+01
   453    0.20716E+03    0.52575E+00   -0.37777E+01
   454    0.20786E+03    0.51926E+00   -0.36932E+01
   455    0.20854E+03    0.51313E+00   -0.36069E+01
   456    0.20921E+03    0.50738E+00   -0.35193E+01
   457    0.20985E+03    0.50199E+00   -0.34301E+01
   458    0.21048E+03    0.49700E+00   -0.33396E+01
   459    0.21108E+03    0.49238E+00   -0.32477E+01
   460    0.21167E+03    0.48816E+00   -0.31547E+01
   461    0.21223E+03    0.48432E+00   -0.30603E+01
   462    0.21278E+03    0.48089E+00   -0.29650E+01
   463    0.21330E+03    0.47786E+00   -0.28685E+01
   464    0.21381E+03    0.47524E+00   -0.27711E+01
   465    0.21429E+03    0.47303E+00   -0.26728E+01
   466    0.21475E+03    0.47124E+00   -0.25736E+01
   467    0.21520E+03    0.46986E+00   -0.24737E+01
   468    0.21561E+03    0.46890E+00   -0.23731E+01
   469    0.21601E+03    0.46837E+00   -0.22719E+01
   470    0.21639E+03    0.46827E+00   -0.21701E+01
   471    0.21675E+03    0.46859E+00   -0.20679E+01
   472    0.21708E+03    0.46935E+00   -0.19652E+01
   473    0.21739E+03    0.47054E+00   -0.18622E+01
   474    0.21768E+03    0.47217E+00   -0.17590E+01
   475    0.21795E+03    0.47424E+00   -0.16556E+01
   476    0.21819E+03    0.47674E+00   -0.15520E+01
   477    0.21842E+03    0.47969E+00   -0.14484E+01
   478    0.21862E+03    0.48308E+00   -0.13448E+01
   479    0.21880E+03    0.48692E+00   -0.12414E+01
   480    0.21896E+03    0.49120E+00   -0.11381E+01
   481    0.21909E+03    0.49592E+00   -0.10350E+01
   482    0.21921E+03    0.50109E+00   -0.93227E+00
   483    0.21930E+03    0.50670E+00   -0.82992E+00
   484    0.21937E+03    0.51276E+00   -0.72801E+00
   485    0.21942E+03    0.51927E+00   -0.62662E+00
   486    0.21944E+03    0.52621E+00   -0.52581E+00
   487    0.21945E+03    0.53361E+00   -0.42569E+00
   488    0.21943E+03    0.54144E+00   -0.32626E+00
   489    0.21940E+03    0.54972E+00   -0.22765E+00
   490    0.21934E+03    0.55843E+00   -0.12989E+00
   491    0.21926E+03    0.56758E+00   -0.33056E-01
   492    0.21916E+03    0.57717E+00    0.62793E-01
   493    0.21904E+03    0.58720E+00    0.15756E+00
   494    0.21890E+03    0.59766E+00    0.25123E+00
   495    0.21874E+03    0.60854E+00    0.34368E+00
   496    0.21856E+03    0.61986E+00    0.43492E+00
   497    0.21836E+03    0.63159E+00    0.52482E+00
   498    0.21814E+03    0.64375E+00    0.61337E+00
   499    0.21790E+03    0.65633E+00    0.70044E+00
   500    0.21764E+03    0.66932E+00    0.78608E+00
   501    0.21736E+03    0.68272E+00    0.87009E+00
   502    0.21707E+03    0.69653E+00    0.95256E+00
   503    0.21675E+03    0.71074E+00    0.10333E+01
   504    0.21642E+03    0.72535E+00    0.11124E+01
   505    0.21607E+03    0.74035E+00    0.11896E+01
   506    0.21571E+03    0.75574E+00    0.12650E+01
   507    0.21532E+03    0.77151E+00    0.13385E+01
   508    0.21492E+03    0.78766E+00    0.14102E+01
   509    0.21450E+03    0.80419E+00    0.14797E+01
