#    L    TT             EE             TE          
   491    0.21871E+04    0.72723E+01   -0.53037E+02
   492    0.21969E+04    0.71934E+01   -0.52646E+02
   493    0.22067E+04    0.71158E+01   -0.52233E+02
   494    0.22164E+04    0.70400E+01   -0.51802E+02
   495    0.22260E+04    0.69658E+01   -0.51350E+02
   496    0.22355E+04    0.68934E+01   -0.50879E+02
   497    0.22450E+04    0.68227E+01   -0.50387E+02
   498    0.22543E+04    0.67541E+01   -0.49878E+02
   499    0.22636E+04    0.66873E+01   -0.49349E+02
   500    0.22727E+04    0.66227E+01   -0.48802E+02
   501    0.22818E+04    0.65601E+01   -0.48236E+02
   502    0.22907E+04    0.64997E+01   -0.47654E+02
   503    0.22995E+04    0.64415E+01   -0.47053E+02
   504    0.23082E+04    0.63857E+01   -0.46436E+02
   505    0.23168E+04    0.63322E+01   -0.45800E+02
   506    0.23253E+04    0.62813E+01   -0.45150E+02
